,_frac_optflow_ok,_frac_optflow_ok_ica,_phi,_phi_err,_velo_eff,_velo_eff_err
2015-09-16 07:06:42.370,,,7603.551100849005,2685.6979001601426,4.29,1.5
2015-09-16 07:06:54.770,,,7435.84609296778,2628.432360986627,4.29,1.5
2015-09-16 07:06:58.620,,,7012.077986295401,2479.0055013801575,4.29,1.5
2015-09-16 07:07:02.480,,,7728.483945651618,2732.200190547567,4.29,1.5
2015-09-16 07:07:06.330,,,7435.304014384732,2629.7361315517355,4.29,1.5
2015-09-16 07:07:10.350,,,7031.438488439383,2486.9016620947104,4.29,1.5
2015-09-16 07:07:14.370,,,6875.135917918794,2432.104659918231,4.29,1.5
2015-09-16 07:07:18.400,,,6699.782313221119,2373.337992111713,4.29,1.5
2015-09-16 07:07:22.330,,,6459.479881962695,2288.2264348697363,4.29,1.5
2015-09-16 07:07:26.350,,,6280.899054117366,2229.878857860872,4.29,1.5
2015-09-16 07:07:30.380,,,5673.2287661311675,2016.732579592305,4.29,1.5
2015-09-16 07:07:36.320,,,6196.050912608111,2195.2484056434837,4.29,1.5
2015-09-16 07:07:40.350,,,7581.514618436787,2681.9515472417124,4.29,1.5
2015-09-16 07:07:44.370,,,7641.89410670887,2703.228533095005,4.29,1.5
2015-09-16 07:07:48.390,,,8296.463809912479,2933.094093421047,4.29,1.5
2015-09-16 07:07:52.330,,,8296.269678967305,2931.924389808002,4.29,1.5
2015-09-16 07:07:56.350,,,8102.662809147726,2864.9683063565485,4.29,1.5
2015-09-16 07:08:00.370,,,8457.381567171898,2989.5131284829245,4.29,1.5
2015-09-16 07:08:04.390,,,8368.93477118349,2959.3362916988112,4.29,1.5
2015-09-16 07:08:08.330,,,8291.388226019242,2932.4287617883447,4.29,1.5
2015-09-16 07:08:12.350,,,7619.412799463493,2695.9432220899166,4.29,1.5
2015-09-16 07:08:17.960,,,6808.822170916531,2412.8435122286496,4.29,1.5
2015-09-16 07:08:21.810,,,6414.987956749277,2274.8816342482405,4.29,1.5
2015-09-16 07:08:25.750,,,6321.377938969287,2242.263509718321,4.29,1.5
2015-09-16 07:08:29.610,,,6555.116225876893,2325.3256384490996,4.29,1.5
2015-09-16 07:08:33.540,,,6114.403690816105,2170.9041949271195,4.29,1.5
2015-09-16 07:08:37.480,,,5612.56849499474,1995.337420279538,4.29,1.5
2015-09-16 07:08:41.330,,,5472.85092399008,1945.475706214503,4.29,1.5
2015-09-16 07:08:45.360,,,5663.1487920644595,2012.160182512566,4.29,1.5
2015-09-16 07:08:49.380,,,5512.541257055452,1961.3808826823013,4.29,1.5
2015-09-16 07:08:53.310,,,5591.192784180719,1988.4463118597014,4.29,1.5
2015-09-16 07:08:59.350,,,5338.070953537687,1898.1263814916917,4.29,1.5
2015-09-16 07:09:03.370,,,6030.422029278818,2141.4536902038653,4.29,1.5
2015-09-16 07:09:07.390,,,6157.132052248186,2184.374674506018,4.29,1.5
2015-09-16 07:09:11.330,,,6874.975628122534,2435.940107610706,4.29,1.5
2015-09-16 07:09:15.350,,,6872.781166316904,2434.7340201014886,4.29,1.5
2015-09-16 07:09:19.370,,,7292.785758202904,2580.7024453626645,4.29,1.5
2015-09-16 07:09:23.390,,,7061.367753079371,2499.487880031917,4.29,1.5
2015-09-16 07:09:27.330,,,7171.767895831865,2538.635644226363,4.29,1.5
2015-09-16 07:09:31.350,,,7036.18838364485,2491.516351951186,4.29,1.5
2015-09-16 07:09:35.370,,,7203.233008551488,2549.2205773435635,4.29,1.5
2015-09-16 07:09:40.980,,,7338.303442390813,2596.4019273805507,4.29,1.5
2015-09-16 07:09:44.920,,,7122.7488040790195,2520.3317052062594,4.29,1.5
2015-09-16 07:09:48.770,,,7036.211506680832,2490.5183040556935,4.29,1.5
2015-09-16 07:09:52.630,,,6743.685815570621,2390.5954006289885,4.29,1.5
2015-09-16 07:09:56.480,,,6107.55000115176,2165.2556666024393,4.29,1.5
2015-09-16 07:10:00.340,,,6155.1978377299265,2184.6437019423406,4.29,1.5
2015-09-16 07:10:04.360,,,6190.378247118914,2197.1328113980726,4.29,1.5
2015-09-16 07:10:08.380,,,6474.45918891018,2295.412281382085,4.29,1.5
2015-09-16 07:10:12.400,,,6022.605363115516,2134.9796416283284,4.29,1.5
2015-09-16 07:10:16.340,,,5867.939170064533,2080.844583221077,4.29,1.5
2015-09-16 07:10:22.540,,,5873.286791457293,2086.2826858672315,4.29,1.5
2015-09-16 07:10:26.390,,,5817.008467695548,2064.2576600648895,4.29,1.5
2015-09-16 07:10:30.330,,,6540.50919329702,2319.7899455156344,4.29,1.5
2015-09-16 07:10:34.350,,,6733.796842038367,2386.0384203403923,4.29,1.5
2015-09-16 07:10:38.370,,,7254.612059707239,2569.217607700331,4.29,1.5
2015-09-16 07:10:42.390,,,7475.181494478289,2644.98520676228,4.29,1.5
2015-09-16 07:10:46.330,,,7607.756285486608,2692.680172291678,4.29,1.5
2015-09-16 07:10:50.350,,,7465.803015734996,2641.311086015314,4.29,1.5
2015-09-16 07:10:54.370,,,7903.915066720505,2795.5294644705195,4.29,1.5
2015-09-16 07:10:58.390,,,7992.470216459871,2826.28305262412,4.29,1.5
2015-09-16 07:11:04.340,,,8262.044422964284,2921.623894198541,4.29,1.5
2015-09-16 07:11:08.370,,,8106.809915496778,2866.2498549380043,4.29,1.5
