Fit Coefficient (AddSpec)	Fit Coefficient Error (AddSpec)	Shift (AddSpec)	Shift Error (AddSpec)	Squeeze (AddSpec)	Squeeze Error (AddSpec)	Quadratic Squeeze (AddSpec)	Quadratic Squeeze Error (AddSpec)	Cubic Squeeze (AddSpec)	Cubic Squeeze Error (AddSpec)	Fit Coefficient (Ring AddSpec)	Fit Coefficient Error (Ring AddSpec)	Shift (Ring AddSpec)	Shift Error (Ring AddSpec)	Squeeze (Ring AddSpec)	Squeeze Error (Ring AddSpec)	Quadratic Squeeze (Ring AddSpec)	Quadratic Squeeze Error (Ring AddSpec)	Cubic Squeeze (Ring AddSpec)	Cubic Squeeze Error (Ring AddSpec)	Fit Coefficient (SO2_Hermans_298_air_conv_satCorr1e18)	Fit Coefficient Error (SO2_Hermans_298_air_conv_satCorr1e18)	Shift (SO2_Hermans_298_air_conv_satCorr1e18)	Shift Error (SO2_Hermans_298_air_conv_satCorr1e18)	Squeeze (SO2_Hermans_298_air_conv_satCorr1e18)	Squeeze Error (SO2_Hermans_298_air_conv_satCorr1e18)	Quadratic Squeeze (SO2_Hermans_298_air_conv_satCorr1e18)	Quadratic Squeeze Error (SO2_Hermans_298_air_conv_satCorr1e18)	Cubic Squeeze (SO2_Hermans_298_air_conv_satCorr1e18)	Cubic Squeeze Error (SO2_Hermans_298_air_conv_satCorr1e18)	Fit Coefficient (o3_221K_air_burrows_1999_conv_satcorr5e18)	Fit Coefficient Error (o3_221K_air_burrows_1999_conv_satcorr5e18)	Shift (o3_221K_air_burrows_1999_conv_satcorr5e18)	Shift Error (o3_221K_air_burrows_1999_conv_satcorr5e18)	Squeeze (o3_221K_air_burrows_1999_conv_satcorr5e18)	Squeeze Error (o3_221K_air_burrows_1999_conv_satcorr5e18)	Quadratic Squeeze (o3_221K_air_burrows_1999_conv_satcorr5e18)	Quadratic Squeeze Error (o3_221K_air_burrows_1999_conv_satcorr5e18)	Cubic Squeeze (o3_221K_air_burrows_1999_conv_satcorr5e18)	Cubic Squeeze Error (o3_221K_air_burrows_1999_conv_satcorr5e18)	Chi Square	Delta	RMS	FitSteps	Poly. Coeff. 0	Poly. Coeff. Error 0	Poly. Coeff. 1	Poly. Coeff. Error 1	Poly. Coeff. 2	Poly. Coeff. Error 2	Poly. Coeff. 3	Poly. Coeff. Error 3	Add. Poly. Coeff. 0	Add. Poly. Coeff. Error 0	LambdaFactor	StartLambda	MinLambda	MaxLambda	Delta	NearlyZero	Author	Average	AzimuthAngle	Delta	DeltaRel	Deviation	Device	ElevationAngle	ExposureTime	FitHigh	FitLow	Gain	IntensityScale	Latitude	LightPath	LightSource	Longitude	Marker	MathHigh	MathLow	Max	MaxChannel	Min	MinChannel	MultiChannelCounter	Name	NumScans	ObjectKey	OpticalDensity	OpticalDensityCenter	OpticalDensityLeft	OpticalDensityRight	Pressure	Remark	ScanGeometry	ScanMax	Site	StartDate	StartDateAndTime	StartTime	StopDate	StopDateAndTime	StopTime	TemperatureAmbient	TimeZoneOffset	UserParam1	UserParam2	UserParam3	UserParam4	UserParam5	UserParam6	UserParam7	UserParam8	Variance
-1	0	-0.0108566669698549	0.00147353801208878	1.00208928789738	0.000187192958679285	0	0	0	0	-9.30456362271609E+24	4.9351708621403E+24	-0.0108566669698549	0.00147353801208878	1.00208928789738	0.000187192958679285	0	0	0	0	1.31270083419213E+18	1.01211689142073E+17	-0.0503378339199331	0.0256827510811374	0.987156747858524	0.00797886427502988	0	0	0	0	-2.94171532281388E+17	2.77216468256363E+17	-0.0503378339199331	0.0256827510811374	0.987156747858524	0.00797886427502988	0	0	0	0	0.00769564227693986	0.0565933794205336	0.0073103227978163	7	4327.22659959227	701.948301780883	-40.3609713232117	6.55221124597828	0.125412001330791	0.0203872395018634	-0.000129876585513649	2.11454259188528E-05	-5536.15552802501	340.088635711345	10	0.01	1E-20	1E+20	0.001	1E-25		235628.309906413	0	561880.723333333	2.384606177231	169825.286989508		0	1000	558	415	0	Intensity	0	0		0	1024	2047	0	552695.093333333	2047	-9185.63	0	0	AddE0	10	EvalSpec	0.696781327608507	1024	102	1945	0		SAZ: 86.0099624804895 SZA: 42.6559427960654 LAZ: 98.451660647736 LAZ: 74.6252701004484 Date: 9/16/2015 09:04:39 Lat.: 0 Lon.: 0 TimeZoneOffset: 00:00:00	0	Etna	09/16/2015	2015-09-16 09:04:39	09:04:39	09/16/2015	2015-09-16 09:04:49	09:04:49	0	02:00:00					usb001207				28840628101.0688
-1	0	-0.00818700065723693	0.00148892417817249	1.00195618966994	0.000188055083966914	0	0	0	0	-5.86968436694972E+24	5.04588533714345E+24	-0.00818700065723693	0.00148892417817249	1.00195618966994	0.000188055083966914	0	0	0	0	1.37613039111644E+18	1.02307755407616E+17	-0.0353012513991589	0.0249945635986633	0.978442750051799	0.00777172887708359	0	0	0	0	-4.72271479582643E+17	2.78949709399669E+17	-0.0353012513991589	0.0249945635986633	0.978442750051799	0.00777172887708359	0	0	0	0	0.00785839721317371	0.0488929662890243	0.00738722763353809	7	4076.21451051866	713.587357952697	-38.0426549686835	6.66061387568795	0.118274322864707	0.0207237848183244	-0.000122550840305583	2.14937088242574E-05	-5111.73392942727	355.808722019503	10	0.01	1E-20	1E+20	0.001	1E-25		236081.681175944	0	561786.928333333	2.37962948050447	170152.309146986		0	1000	558	415	0	Intensity	0	0		0	1024	2047	0	552681.983333333	2047	-9104.945	0	0	AddE1	10	EvalSpec	0.698952992847311	1024	102	1945	0		SAZ: 86.0068771957944 SZA: 42.6143647026006 LAZ: 98.4536964191449 LAZ: 74.585276319398 Date: 9/16/2015 09:04:49 Lat.: 0 Lon.: 0 TimeZoneOffset: 00:00:00	0	Etna	09/16/2015	2015-09-16 09:04:49	09:04:49	09/16/2015	2015-09-16 09:04:59	09:04:59	0	02:00:00					usb001217				28951808308.0516
-1	0	-0.00881447534199017	0.00148029055781971	1.00196605309489	0.000187319547390886	0	0	0	0	-6.78286694902937E+24	4.9735651556881E+24	-0.00881447534199017	0.00148029055781971	1.00196605309489	0.000187319547390886	0	0	0	0	1.30392281253155E+18	1.01747325697266E+17	-0.035843556848594	0.026084498290054	0.979202662091734	0.0080973389735458	0	0	0	0	-3.70514381076973E+17	2.77419459505248E+17	-0.035843556848594	0.026084498290054	0.979202662091734	0.0080973389735458	0	0	0	0	0.00776499399140435	0.0525372630481797	0.00734321322943827	7	3927.8030880969	708.022728433971	-36.6668496936797	6.60869012234697	0.114023942543601	0.0205622740079274	-0.000118174734772627	2.13262366511933E-05	-5451.74102433169	343.623196643455	10	0.01	1E-20	1E+20	0.001	1E-25		236029.117689616	0	561479.661666667	2.3788576052088	170135.489822267		0	1000	558	415	0	Intensity	0	0		0	1024	2047	0	552371.793333333	2047	-9107.86833333334	0	0	AddE2	10	EvalSpec	0.700477385577909	1024	102	1945	0		SAZ: 86.0037849322073 SZA: 42.5727867614246 LAZ: 98.4557371198103 LAZ: 74.5452827942686 Date: 9/16/2015 09:04:59 Lat.: 0 Lon.: 0 TimeZoneOffset: 00:00:00	0	Etna	09/16/2015	2015-09-16 09:04:59	09:04:59	09/16/2015	2015-09-16 09:05:09	09:05:09	0	02:00:00					usb001227				28946084897.0626
-1	0	-0.00727577388559544	0.00152379934338171	1.00166262175112	0.000193210675606912	0	0	0	0	-8.19461548291294E+24	5.15858882723875E+24	-0.00727577388559544	0.00152379934338171	1.00166262175112	0.000193210675606912	0	0	0	0	1.25497824660937E+18	1.04245692455083E+17	-0.0319165612778867	0.0274426368758698	0.980593479639157	0.00847510158476094	0	0	0	0	-2.04754639254932E+17	2.84550541216771E+17	-0.0319165612778867	0.0274426368758698	0.980593479639157	0.00847510158476094	0	0	0	0	0.00815717670953854	0.0509273649721766	0.00752635199936213	6	3020.82674106681	735.022999601342	-28.2057860636193	6.860053701854	0.0877141697104529	0.0213423558252324	-9.0905688769921E-05	2.21332529886575E-05	-5155.35899180271	364.287492480642	10	0.01	1E-20	1E+20	0.001	1E-25		235701.447782389	0	561343.353333333	2.38158636111388	169875.030414606		0	1000	558	415	0	Intensity	0	0		0	1024	2047	0	552214.523333333	2047	-9128.83	0	0	AddE3	10	EvalSpec	0.69896186815577	1024	102	1945	0		SAZ: 86.0006856575996 SZA: 42.5312088070561 LAZ: 98.4577827629199 LAZ: 74.50528936607 Date: 9/16/2015 09:05:09 Lat.: 0 Lon.: 0 TimeZoneOffset: 00:00:00	0	Etna	09/16/2015	2015-09-16 09:05:09	09:05:09	09/16/2015	2015-09-16 09:05:19	09:05:19	0	02:00:00					usb001237				28857525958.3632
-1	0	-0.0105447424581921	0.00158373186378549	1.00199337002688	0.000201290054822785	0	0	0	0	-1.01522217453793E+25	5.37970629915181E+24	-0.0105447424581921	0.00158373186378549	1.00199337002688	0.000201290054822785	0	0	0	0	1.28711252534758E+18	1.09150808937287E+17	-0.00216083677330276	0.02852615086559	0.977768264268897	0.00890448603875306	0	0	0	0	-5.13167789737981E+17	2.95549896680015E+17	-0.00216083677330276	0.02852615086559	0.977768264268897	0.00890448603875306	0	0	0	0	0.00881996380204407	0.0559044406459357	0.00782620820289723	6	3684.64149550568	763.51731859132	-34.3587384968781	7.12539299342835	0.106724900820698	0.0221660687522719	-0.000110484786311845	2.29857237106921E-05	-5628.97473858691	378.938766686244	10	0.01	1E-20	1E+20	0.001	1E-25		235387.044662272	0	560497.953333333	2.38117588050576	169530.82740275		0	1000	558	415	0	Intensity	0	0		0	1024	2047	0	551272.993333333	2047	-9224.96	0	0	AddE4	10	EvalSpec	0.69637678455058	1024	102	1945	0		SAZ: 85.9975793770831 SZA: 42.4896311744836 LAZ: 98.4598333370245 LAZ: 74.4652963571372 Date: 9/16/2015 09:05:19 Lat.: 0 Lon.: 0 TimeZoneOffset: 00:00:00	0	Etna	09/16/2015	2015-09-16 09:05:19	09:05:19	09/16/2015	2015-09-16 09:05:29	09:05:29	0	02:00:00					usb001247				28740701439.8609
-1	0	-0.00732574919103701	0.00151751191972376	1.00184727811406	0.000191897649908036	0	0	0	0	-5.51791298410356E+24	5.19196313478077E+24	-0.00732574919103701	0.00151751191972376	1.00184727811406	0.000191897649908036	0	0	0	0	9.79474347198968E+17	1.04857504795825E+17	-0.0423183525934116	0.0350853469541039	0.982229946770612	0.0108135845604514	0	0	0	0	-1.31275488973296E+17	2.8514247406964E+17	-0.0423183525934116	0.0350853469541039	0.982229946770612	0.0108135845604514	0	0	0	0	0.00817981912802222	0.0471444998020196	0.00753677398069353	7	4294.9658933833	725.815539724501	-40.1257286547259	6.77441491939216	0.124882040984254	0.0210768816331044	-0.000129532995452635	2.18589685878622E-05	-5561.14165277545	362.841755211734	10	0.01	1E-20	1E+20	0.001	1E-25		235553.201732585	0	560998.173333333	2.38161981754854	169436.018847912		0	1000	558	415	0	Intensity	0	0		0	1024	2047	0	551961.103333333	2047	-9037.07	0	0	AddE5	10	EvalSpec	0.694268501800115	1024	102	1945	0		SAZ: 85.9944660582018 SZA: 42.4480536956158 LAZ: 98.461888855428 LAZ: 74.4253036058832 Date: 9/16/2015 09:05:29 Lat.: 0 Lon.: 0 TimeZoneOffset: 00:00:00	0	Etna	09/16/2015	2015-09-16 09:05:29	09:05:29	09/16/2015	2015-09-16 09:05:39	09:05:39	0	02:00:00					usb001257				28708564483.0298
-1	0	-0.00783571505438227	0.00156322659913087	1.00184821768232	0.000198014213722142	0	0	0	0	-4.2463120423684E+24	5.3593095766852E+24	-0.00783571505438227	0.00156322659913087	1.00184821768232	0.000198014213722142	0	0	0	0	1.2675305121328E+18	1.08290923294248E+17	-0.0172159242973113	0.0286688032236615	0.978805231283596	0.00893761624983034	0	0	0	0	-4.58329381622548E+17	2.93469197788716E+17	-0.0172159242973113	0.0286688032236615	0.978805231283596	0.00893761624983034	0	0	0	0	0.00870651942742758	0.0555894735682205	0.00777565980450294	6	3446.27162319024	758.853464509007	-32.174539566151	7.08196880385712	0.100054835767399	0.0220312656096425	-0.000103696110868896	2.28462019009907E-05	-5414.3896831469	375.65293410843	10	0.01	1E-20	1E+20	0.001	1E-25		235464.397840983	0	560329.868333333	2.37967978798962	169425.737339727		0	1000	558	415	0	Intensity	0	0		0	1024	2047	0	551080.753333333	2047	-9249.115	0	0	AddE6	10	EvalSpec	0.69511331737609	1024	102	1945	0		SAZ: 85.9913456685073 SZA: 42.4064762049784 LAZ: 98.4639493314161 LAZ: 74.3853109533001 Date: 9/16/2015 09:05:39 Lat.: 0 Lon.: 0 TimeZoneOffset: 00:00:00	0	Etna	09/16/2015	2015-09-16 09:05:39	09:05:39	09/16/2015	2015-09-16 09:05:49	09:05:49	0	02:00:00					usb001267				28705080473.1103
-1	0	-0.0101323032815552	0.00154431123420213	1.00193720782556	0.000196361385212082	0	0	0	0	-6.22883842905337E+24	5.21676649132317E+24	-0.0101323032815552	0.00154431123420213	1.00193720782556	0.000196361385212082	0	0	0	0	1.32740861507544E+18	1.05981641577991E+17	-0.0618330164763564	0.0270595399130298	0.983621325662686	0.00844479217858045	0	0	0	0	-5.54098579739878E+17	2.90984002155603E+17	-0.0618330164763564	0.0270595399130298	0.983621325662686	0.00844479217858045	0	0	0	0	0.00851009555865986	0.0535006940841125	0.00768749473159749	7	3253.59831684567	739.818672259791	-30.3411826005293	6.90635144216917	0.0942439995789323	0.0214910799753535	-9.75612194296146E-05	2.22922424846492E-05	-5385.85604240931	368.063903462613	10	0.01	1E-20	1E+20	0.001	1E-25		235391.481800944	0	560043.718333333	2.37920129500237	169256.099677889		0	1000	558	415	0	Intensity	0	0		0	1024	2047	0	550827.363333333	2047	-9216.355	0	0	AddE7	10	EvalSpec	0.696209443819939	1024	102	1945	0		SAZ: 85.9882182130109 SZA: 42.3648990371266 LAZ: 98.4660147534918 LAZ: 74.3453187213129 Date: 9/16/2015 09:05:49 Lat.: 0 Lon.: 0 TimeZoneOffset: 00:00:00	0	Etna	09/16/2015	2015-09-16 09:05:49	09:05:49	09/16/2015	2015-09-16 09:05:59	09:05:59	0	02:00:00					usb001277				28647627278.1715
-1	0	-0.00872943190305633	0.00165354139474906	1.00194504149724	0.000209177755040952	0	0	0	0	-8.308962949428E+24	5.56594006014603E+24	-0.00872943190305633	0.00165354139474906	1.00194504149724	0.000209177755040952	0	0	0	0	1.01480335609434E+18	1.1245610232301E+17	-0.0640450892172996	0.0370043972191607	0.983246649816208	0.0114676749284908	0	0	0	0	-2.35217133730407E+17	3.09531636948222E+17	-0.0640450892172996	0.0370043972191607	0.983246649816208	0.0114676749284908	0	0	0	0	0.00962431196699536	0.0660496503197479	0.00817513107831463	6	3123.10019907371	788.481699757573	-29.1634587452445	7.36085362801393	0.0907032164623063	0.0229060664407968	-9.40149094498176E-05	2.37606551321535E-05	-5557.43064938277	396.885460046072	10	0.01	1E-20	1E+20	0.001	1E-25		235377.890306803	0	559928.651666667	2.37884981863346	168885.352841858		0	1000	558	415	0	Intensity	0	0		0	1024	2047	0	550696.273333333	2047	-9232.37833333334	0	0	AddE8	10	EvalSpec	0.692455699777352	1024	102	1945	0		SAZ: 85.9850836590337 SZA: 42.3233220252825 LAZ: 98.4680851350047 LAZ: 74.3053267496127 Date: 9/16/2015 09:05:59 Lat.: 0 Lon.: 0 TimeZoneOffset: 00:00:00	0	Etna	09/16/2015	2015-09-16 09:05:59	09:05:59	09/16/2015	2015-09-16 09:06:09	09:06:09	0	02:00:00					usb001287				28522262404.5187
-1	0	-0.00765922657390552	0.00158765266961658	1.00185905741443	0.000200760993301944	0	0	0	0	-6.09891746509478E+24	5.40841904100393E+24	-0.00765922657390552	0.00158765266961658	1.00185905741443	0.000200760993301944	0	0	0	0	1.09576014336228E+18	1.08960680069149E+17	-0.0243341221755158	0.0332890115653624	0.974204478467668	0.0103152071046225	0	0	0	0	-3.37067701616698E+17	2.97013757401826E+17	-0.0243341221755158	0.0332890115653624	0.974204478467668	0.0103152071046225	0	0	0	0	0.00891799977684912	0.0649615768724345	0.00786952490123076	6	3366.78465504713	763.96300709789	-31.4523314948739	7.13088939127234	0.0978699036151993	0.0221871933514281	-0.000101495059003988	2.30116700984058E-05	-5411.82974740182	388.545104136969	10	0.01	1E-20	1E+20	0.001	1E-25		235107.188646647	0	559396.943333333	2.37932726154995	168604.441047817		0	1000	558	415	0	Intensity	0	0		0	1024	2047	0	550104.273333333	2047	-9292.67	0	0	AddE9	10	EvalSpec	0.687133699827618	1024	102	1945	0		SAZ: 85.9819419737031 SZA: 42.281745002673 LAZ: 98.4701604894073 LAZ: 74.2653348779232 Date: 9/16/2015 09:06:09 Lat.: 0 Lon.: 0 TimeZoneOffset: 00:00:00	0	Etna	09/16/2015	2015-09-16 09:06:09	09:06:09	09/16/2015	2015-09-16 09:06:19	09:06:19	0	02:00:00					usb001297				28427457541.0469
