Fit Coefficient (AddSpec)	Fit Coefficient Error (AddSpec)	Shift (AddSpec)	Shift Error (AddSpec)	Squeeze (AddSpec)	Squeeze Error (AddSpec)	Quadratic Squeeze (AddSpec)	Quadratic Squeeze Error (AddSpec)	Cubic Squeeze (AddSpec)	Cubic Squeeze Error (AddSpec)	Fit Coefficient (Ring AddSpec)	Fit Coefficient Error (Ring AddSpec)	Shift (Ring AddSpec)	Shift Error (Ring AddSpec)	Squeeze (Ring AddSpec)	Squeeze Error (Ring AddSpec)	Quadratic Squeeze (Ring AddSpec)	Quadratic Squeeze Error (Ring AddSpec)	Cubic Squeeze (Ring AddSpec)	Cubic Squeeze Error (Ring AddSpec)	Fit Coefficient (SO2_Hermans_298_air_conv_satCorr1e18)	Fit Coefficient Error (SO2_Hermans_298_air_conv_satCorr1e18)	Shift (SO2_Hermans_298_air_conv_satCorr1e18)	Shift Error (SO2_Hermans_298_air_conv_satCorr1e18)	Squeeze (SO2_Hermans_298_air_conv_satCorr1e18)	Squeeze Error (SO2_Hermans_298_air_conv_satCorr1e18)	Quadratic Squeeze (SO2_Hermans_298_air_conv_satCorr1e18)	Quadratic Squeeze Error (SO2_Hermans_298_air_conv_satCorr1e18)	Cubic Squeeze (SO2_Hermans_298_air_conv_satCorr1e18)	Cubic Squeeze Error (SO2_Hermans_298_air_conv_satCorr1e18)	Fit Coefficient (o3_221K_air_burrows_1999_conv_satcorr5e18)	Fit Coefficient Error (o3_221K_air_burrows_1999_conv_satcorr5e18)	Shift (o3_221K_air_burrows_1999_conv_satcorr5e18)	Shift Error (o3_221K_air_burrows_1999_conv_satcorr5e18)	Squeeze (o3_221K_air_burrows_1999_conv_satcorr5e18)	Squeeze Error (o3_221K_air_burrows_1999_conv_satcorr5e18)	Quadratic Squeeze (o3_221K_air_burrows_1999_conv_satcorr5e18)	Quadratic Squeeze Error (o3_221K_air_burrows_1999_conv_satcorr5e18)	Cubic Squeeze (o3_221K_air_burrows_1999_conv_satcorr5e18)	Cubic Squeeze Error (o3_221K_air_burrows_1999_conv_satcorr5e18)	Chi Square	Delta	RMS	FitSteps	Poly. Coeff. 0	Poly. Coeff. Error 0	Poly. Coeff. 1	Poly. Coeff. Error 1	Poly. Coeff. 2	Poly. Coeff. Error 2	Poly. Coeff. 3	Poly. Coeff. Error 3	Add. Poly. Coeff. 0	Add. Poly. Coeff. Error 0	LambdaFactor	StartLambda	MinLambda	MaxLambda	Delta	NearlyZero	Author	Average	AzimuthAngle	Delta	DeltaRel	Deviation	Device	ElevationAngle	ExposureTime	FitHigh	FitLow	Gain	IntensityScale	Latitude	LightPath	LightSource	Longitude	Marker	MathHigh	MathLow	Max	MaxChannel	Min	MinChannel	MultiChannelCounter	Name	NumScans	ObjectKey	OpticalDensity	OpticalDensityCenter	OpticalDensityLeft	OpticalDensityRight	Pressure	Remark	ScanGeometry	ScanMax	Site	StartDate	StartDateAndTime	StartTime	StopDate	StopDateAndTime	StopTime	TemperatureAmbient	TimeZoneOffset	UserParam1	UserParam2	UserParam3	UserParam4	UserParam5	UserParam6	UserParam7	UserParam8	Variance
-1	0	-0.0185951413708802	0.00229622151564927	1.00208954036451	0.00030813093169851	0	0	0	0	4.1287083830294E+25	3.78717705466055E+24	-0.0185951413708802	0.00229622151564927	1.00208954036451	0.00030813093169851	0	0	0	0	8.49287622815707E+17	3.84800532005185E+16	-0.0494982053907429	0.0224826291022375	0.988382230597357	0.0064759895325157	0	0	0	0	4.79750847703767E+16	4.07441357154675E+17	-0.0494982053907429	0.0224826291022375	0.988382230597357	0.0064759895325157	0	0	0	0	0.0265982171530505	0.106481010581147	0.012813528984942	6	-4122.37289128438	882.887691621625	38.691374958844	8.34877771357675	-0.121141946372748	0.0263165407649937	0.000126470915806019	2.76516457709599E-05	-2266.57601657497	36.7324228766265	10	0.01	1E-20	1E+20	0.001	1E-25		235628.309906413	0	561880.723333333	2.384606177231	169825.286989508		0	1000	516	355	0	Intensity	0	0		0	1024	2047	0	552695.093333333	2047	-9185.63	0	0	AddE0	10	EvalSpec	0.696781327608507	1024	102	1945	0		SAZ: 86.0099624804895 SZA: 42.6559427960654 LAZ: 98.451660647736 LAZ: 74.6252701004484 Date: 9/16/2015 09:04:39 Lat.: 0 Lon.: 0 TimeZoneOffset: 00:00:00	0	Etna	09/16/2015	2015-09-16 09:04:39	09:04:39	09/16/2015	2015-09-16 09:04:49	09:04:49	0	02:00:00					usb001207				28840628101.0688
-1	0	-0.00739360588289399	0.00264888002807721	1.00105728840809	0.000356065793506044	0	0	0	0	3.8238625841588E+25	4.41934509307265E+24	-0.00739360588289399	0.00264888002807721	1.00105728840809	0.000356065793506044	0	0	0	0	8.51947751033416E+17	4.41206251866847E+16	0.00340671031016566	0.0257132240337554	0.980064766566992	0.00735270153952787	0	0	0	0	1.55629905307822E+17	4.69181049849683E+17	0.00340671031016566	0.0257132240337554	0.980064766566992	0.00735270153952787	0	0	0	0	0.0353299790856119	0.132002708282078	0.0147672708897878	5	-3954.36781003635	1036.49096714084	37.1174882341131	9.80027413214882	-0.116225612370109	0.0308886271045348	0.000121350303658623	3.24522383999367E-05	-2327.73451416364	44.233622331297	10	0.01	1E-20	1E+20	0.001	1E-25		236081.681175944	0	561786.928333333	2.37962948050447	170152.309146986		0	1000	516	355	0	Intensity	0	0		0	1024	2047	0	552681.983333333	2047	-9104.945	0	0	AddE1	10	EvalSpec	0.698952992847311	1024	102	1945	0		SAZ: 86.0068771957944 SZA: 42.6143647026006 LAZ: 98.4536964191449 LAZ: 74.585276319398 Date: 9/16/2015 09:04:49 Lat.: 0 Lon.: 0 TimeZoneOffset: 00:00:00	0	Etna	09/16/2015	2015-09-16 09:04:49	09:04:49	09/16/2015	2015-09-16 09:04:59	09:04:59	0	02:00:00					usb001217				28951808308.0516
-1	0	-0.0131264942201833	0.002748170261507	1.00167992080282	0.000368047746260678	0	0	0	0	4.07629076979007E+25	4.54210277688167E+24	-0.0131264942201833	0.002748170261507	1.00167992080282	0.000368047746260678	0	0	0	0	8.35587285652996E+17	4.57238362318721E+16	-0.0243765607856388	0.0269872747677926	0.981266773546494	0.00767387745741804	0	0	0	0	1.97397136141811E+17	4.84919697860772E+17	-0.0243765607856388	0.0269872747677926	0.981266773546494	0.00767387745741804	0	0	0	0	0.0375600698629457	0.112344786908455	0.0152266916888077	6	-4803.01249882398	1068.52638617365	45.1866503711375	10.1030964524358	-0.141796838693129	0.0318428590131741	0.000148358633848868	3.34545990488498E-05	-2305.47815966395	45.536286272145	10	0.01	1E-20	1E+20	0.001	1E-25		236029.117689616	0	561479.661666667	2.3788576052088	170135.489822267		0	1000	516	355	0	Intensity	0	0		0	1024	2047	0	552371.793333333	2047	-9107.86833333334	0	0	AddE2	10	EvalSpec	0.700477385577909	1024	102	1945	0		SAZ: 86.0037849322073 SZA: 42.5727867614246 LAZ: 98.4557371198103 LAZ: 74.5452827942686 Date: 9/16/2015 09:04:59 Lat.: 0 Lon.: 0 TimeZoneOffset: 00:00:00	0	Etna	09/16/2015	2015-09-16 09:04:59	09:04:59	09/16/2015	2015-09-16 09:05:09	09:05:09	0	02:00:00					usb001227				28946084897.0626
-1	0	-0.0179163256122572	0.00270207148914255	1.00210863258082	0.000363177777546478	0	0	0	0	3.41568066229148E+25	4.41398541082868E+24	-0.0179163256122572	0.00270207148914255	1.00210863258082	0.000363177777546478	0	0	0	0	8.32517201428881E+17	4.51099470367724E+16	-0.0626009454041317	0.0261760347088539	0.989962386724044	0.00741165252130925	0	0	0	0	2.87309381568272E+17	4.73487670892178E+17	-0.0626009454041317	0.0261760347088539	0.989962386724044	0.00741165252130925	0	0	0	0	0.0358341959284378	0.110570254964687	0.0148727484090167	6	-3558.38300297055	1051.01576844921	33.4113242035015	9.93652817250922	-0.10466220063498	0.0313148000720792	0.00010932302131001	3.28966755392939E-05	-2351.04944388332	45.6652646714616	10	0.01	1E-20	1E+20	0.001	1E-25		235701.447782389	0	561343.353333333	2.38158636111388	169875.030414606		0	1000	516	355	0	Intensity	0	0		0	1024	2047	0	552214.523333333	2047	-9128.83	0	0	AddE3	10	EvalSpec	0.69896186815577	1024	102	1945	0		SAZ: 86.0006856575996 SZA: 42.5312088070561 LAZ: 98.4577827629199 LAZ: 74.50528936607 Date: 9/16/2015 09:05:09 Lat.: 0 Lon.: 0 TimeZoneOffset: 00:00:00	0	Etna	09/16/2015	2015-09-16 09:05:09	09:05:09	09/16/2015	2015-09-16 09:05:19	09:05:19	0	02:00:00					usb001237				28857525958.3632
-1	0	-0.0130462149097155	0.00265384873703943	1.00146674660489	0.00035581244956626	0	0	0	0	3.96818091806394E+25	4.41569971187725E+24	-0.0130462149097155	0.00265384873703943	1.00146674660489	0.00035581244956626	0	0	0	0	8.14031544934073E+17	4.41420478908662E+16	-0.010941986391673	0.0264846692002385	0.985032793113563	0.00743783260894784	0	0	0	0	3.63425624415612E+17	4.66541478859804E+17	-0.010941986391673	0.0264846692002385	0.985032793113563	0.00743783260894784	0	0	0	0	0.0349556239683034	0.116100783522221	0.0146888438237853	5	-4388.40595463127	1048.94548545777	41.2414484675207	9.91616778249541	-0.129280522385171	0.0312481172202979	0.000135119886701387	3.28239533037963E-05	-2310.96694677769	48.531447457323	10	0.01	1E-20	1E+20	0.001	1E-25		235387.044662272	0	560497.953333333	2.38117588050576	169530.82740275		0	1000	516	355	0	Intensity	0	0		0	1024	2047	0	551272.993333333	2047	-9224.96	0	0	AddE4	10	EvalSpec	0.69637678455058	1024	102	1945	0		SAZ: 85.9975793770831 SZA: 42.4896311744836 LAZ: 98.4598333370245 LAZ: 74.4652963571372 Date: 9/16/2015 09:05:19 Lat.: 0 Lon.: 0 TimeZoneOffset: 00:00:00	0	Etna	09/16/2015	2015-09-16 09:05:19	09:05:19	09/16/2015	2015-09-16 09:05:29	09:05:29	0	02:00:00					usb001247				28740701439.8609
-1	0	-0.0143591935584817	0.00235468784600757	1.00175420079297	0.000314781560036279	0	0	0	0	4.3626948652622E+25	3.965188992333E+24	-0.0143591935584817	0.00235468784600757	1.00175420079297	0.000314781560036279	0	0	0	0	8.23558893977996E+17	3.97408020713098E+16	-0.04005870706978	0.0238683849861168	0.986115843529203	0.00693210186156675	0	0	0	0	-7.93306346099123E+16	4.17179629985248E+17	-0.04005870706978	0.0238683849861168	0.986115843529203	0.00693210186156675	0	0	0	0	0.0277643878004707	0.101892367315631	0.0130913642318139	6	-3875.5025849939	957.676210729433	36.3195216874044	9.05149156092513	-0.113547480449574	0.0285175274021789	0.000118367348486831	2.9949658407891E-05	-2292.86592406544	47.9991048601631	10	0.01	1E-20	1E+20	0.001	1E-25		235553.201732585	0	560998.173333333	2.38161981754854	169436.018847912		0	1000	516	355	0	Intensity	0	0		0	1024	2047	0	551961.103333333	2047	-9037.07	0	0	AddE5	10	EvalSpec	0.694268501800115	1024	102	1945	0		SAZ: 85.9944660582018 SZA: 42.4480536956158 LAZ: 98.461888855428 LAZ: 74.4253036058832 Date: 9/16/2015 09:05:29 Lat.: 0 Lon.: 0 TimeZoneOffset: 00:00:00	0	Etna	09/16/2015	2015-09-16 09:05:29	09:05:29	09/16/2015	2015-09-16 09:05:39	09:05:39	0	02:00:00					usb001257				28708564483.0298
-1	0	-0.0180378302876947	0.00262641607991874	1.00218372808061	0.000352258223929503	0	0	0	0	3.94860863673524E+25	4.36513480162623E+24	-0.0180378302876947	0.00262641607991874	1.00218372808061	0.000352258223929503	0	0	0	0	8.32993554283323E+17	4.42289279945372E+16	-0.056744316108046	0.0260631968692677	0.986694147953359	0.00750635789105374	0	0	0	0	4.33798749401392E+16	4.64972939873485E+17	-0.056744316108046	0.0260631968692677	0.986694147953359	0.00750635789105374	0	0	0	0	0.0344325338723473	0.116161223224612	0.0145789722322512	6	-4180.87753654593	1045.32534101515	39.2730932240723	9.88154784007679	-0.123062202857782	0.0311378405930623	0.000128576494248421	3.27069408054495E-05	-2340.16887728276	48.0289020146264	10	0.01	1E-20	1E+20	0.001	1E-25		235464.397840983	0	560329.868333333	2.37967978798962	169425.737339727		0	1000	516	355	0	Intensity	0	0		0	1024	2047	0	551080.753333333	2047	-9249.115	0	0	AddE6	10	EvalSpec	0.69511331737609	1024	102	1945	0		SAZ: 85.9913456685073 SZA: 42.4064762049784 LAZ: 98.4639493314161 LAZ: 74.3853109533001 Date: 9/16/2015 09:05:39 Lat.: 0 Lon.: 0 TimeZoneOffset: 00:00:00	0	Etna	09/16/2015	2015-09-16 09:05:39	09:05:39	09/16/2015	2015-09-16 09:05:49	09:05:49	0	02:00:00					usb001267				28705080473.1103
-1	0	-0.0160923110461947	0.00259486663240588	1.00182014696962	0.000347117748870724	0	0	0	0	3.88245044452161E+25	4.29391254962197E+24	-0.0160923110461947	0.00259486663240588	1.00182014696962	0.000347117748870724	0	0	0	0	8.67572565811439E+17	4.30376969676711E+16	-0.0468086009807512	0.024764866196339	0.984871716388212	0.00717883870809525	0	0	0	0	-6.78178401621681E+16	4.56785732742177E+17	-0.0468086009807512	0.024764866196339	0.984871716388212	0.00717883870809525	0	0	0	0	0.0332628654632837	0.117345159419248	0.0143291842660169	6	-3467.50214181941	1001.52301887673	32.5218123304045	9.46923459230574	-0.101763643823971	0.029844079614788	0.000106178582094569	3.13536958254102E-05	-2402.20411945268	44.7140682015698	10	0.01	1E-20	1E+20	0.001	1E-25		235391.481800944	0	560043.718333333	2.37920129500237	169256.099677889		0	1000	516	355	0	Intensity	0	0		0	1024	2047	0	550827.363333333	2047	-9216.355	0	0	AddE7	10	EvalSpec	0.696209443819939	1024	102	1945	0		SAZ: 85.9882182130109 SZA: 42.3648990371266 LAZ: 98.4660147534918 LAZ: 74.3453187213129 Date: 9/16/2015 09:05:49 Lat.: 0 Lon.: 0 TimeZoneOffset: 00:00:00	0	Etna	09/16/2015	2015-09-16 09:05:49	09:05:49	09/16/2015	2015-09-16 09:05:59	09:05:59	0	02:00:00					usb001277				28647627278.1715
-1	0	-0.014551416705627	0.00265303001840942	1.00182570255118	0.000353299237971201	0	0	0	0	3.73334329002077E+25	4.39973261136328E+24	-0.014551416705627	0.00265303001840942	1.00182570255118	0.000353299237971201	0	0	0	0	7.54657315983218E+17	4.3809316531267E+16	-0.0203633899706137	0.0289235127053077	0.975396920486187	0.00832574142396866	0	0	0	0	-5.47094628721536E+16	4.64267613859934E+17	-0.0203633899706137	0.0289235127053077	0.975396920486187	0.00832574142396866	0	0	0	0	0.0343839655207291	0.113058181248144	0.0145686756523833	6	-3630.81613949605	1035.14313929156	34.0483432912022	9.78619782456406	-0.106520431197212	0.0308401497401332	0.000111120054838124	3.23970774699171E-05	-2433.00671420376	49.080451545416	10	0.01	1E-20	1E+20	0.001	1E-25		235377.890306803	0	559928.651666667	2.37884981863346	168885.352841858		0	1000	516	355	0	Intensity	0	0		0	1024	2047	0	550696.273333333	2047	-9232.37833333334	0	0	AddE8	10	EvalSpec	0.692455699777352	1024	102	1945	0		SAZ: 85.9850836590337 SZA: 42.3233220252825 LAZ: 98.4680851350047 LAZ: 74.3053267496127 Date: 9/16/2015 09:05:59 Lat.: 0 Lon.: 0 TimeZoneOffset: 00:00:00	0	Etna	09/16/2015	2015-09-16 09:05:59	09:05:59	09/16/2015	2015-09-16 09:06:09	09:06:09	0	02:00:00					usb001287				28522262404.5187
-1	0	-0.0160343486347139	0.00258250371787791	1.0019550947684	0.000345362492577619	0	0	0	0	3.72677631260831E+25	4.2467749809885E+24	-0.0160343486347139	0.00258250371787791	1.0019550947684	0.000345362492577619	0	0	0	0	7.78415600765321E+17	4.28033463552922E+16	-0.0346935433917966	0.027409530468267	0.983824668366882	0.00795642360961987	0	0	0	0	-7.96492036085266E+16	4.5226945577121E+17	-0.0346935433917966	0.027409530468267	0.983824668366882	0.00795642360961987	0	0	0	0	0.0326741534758708	0.106148948607173	0.0142018238520783	6	-3579.63979288468	998.375318651078	33.5808812023203	9.43935277793517	-0.105097712987117	0.0297494932708913	0.000109677403596227	3.12538696655101E-05	-2441.81815823381	46.6575114110899	10	0.01	1E-20	1E+20	0.001	1E-25		235107.188646647	0	559396.943333333	2.37932726154995	168604.441047817		0	1000	516	355	0	Intensity	0	0		0	1024	2047	0	550104.273333333	2047	-9292.67	0	0	AddE9	10	EvalSpec	0.687133699827618	1024	102	1945	0		SAZ: 85.9819419737031 SZA: 42.281745002673 LAZ: 98.4701604894073 LAZ: 74.2653348779232 Date: 9/16/2015 09:06:09 Lat.: 0 Lon.: 0 TimeZoneOffset: 00:00:00	0	Etna	09/16/2015	2015-09-16 09:06:09	09:06:09	09/16/2015	2015-09-16 09:06:19	09:06:19	0	02:00:00					usb001297				28427457541.0469
