,_phi,_phi_err,_velo_eff,_velo_eff_err
2015-09-16 07:06:42.370,2391.21513074,909.17075623,4.14,0.828
2015-09-16 07:06:54.770,2749.45876967,1047.20350237,4.14,0.828
2015-09-16 07:06:58.620,2572.43449662,973.924816505,4.14,0.828
2015-09-16 07:07:02.480,2637.47148055,1016.9916472,4.14,0.828
2015-09-16 07:07:06.330,2720.13145342,1012.69946873,4.14,0.828
2015-09-16 07:07:10.350,2641.24659773,977.237374226,4.14,0.828
2015-09-16 07:07:14.370,2694.89920328,1005.4742888,4.14,0.828
2015-09-16 07:07:18.400,2888.88172762,1071.67498914,4.14,0.828
2015-09-16 07:07:22.330,2951.1861699,1096.48872113,4.14,0.828
2015-09-16 07:07:26.350,2959.77356257,1115.21731053,4.14,0.828
2015-09-16 07:07:30.380,2881.42233286,1097.63997843,4.14,0.828
2015-09-16 07:07:36.320,2776.9381216,1081.81329605,4.14,0.828
2015-09-16 07:07:40.350,2585.52922747,1025.10635854,4.14,0.828
2015-09-16 07:07:44.370,2642.40621308,1044.69973913,4.14,0.828
2015-09-16 07:07:48.390,2606.47338281,1031.7162112,4.14,0.828
2015-09-16 07:07:52.330,2653.79458545,1027.72883009,4.14,0.828
2015-09-16 07:07:56.350,2383.92228904,967.376384436,4.14,0.828
2015-09-16 07:08:00.370,2578.78099963,1056.21006309,4.14,0.828
2015-09-16 07:08:04.390,2625.54445508,1052.03862578,4.14,0.828
2015-09-16 07:08:08.330,2732.33625033,1050.07006212,4.14,0.828
2015-09-16 07:08:12.350,2904.69357392,1127.43186747,4.14,0.828
2015-09-16 07:08:17.960,2820.47403418,1073.42609266,4.14,0.828
2015-09-16 07:08:21.810,2923.26473261,1125.23594905,4.14,0.828
2015-09-16 07:08:25.750,2982.52228912,1158.76968423,4.14,0.828
2015-09-16 07:08:29.610,3085.86023106,1192.52936591,4.14,0.828
2015-09-16 07:08:33.540,3091.10251453,1211.18459937,4.14,0.828
2015-09-16 07:08:37.480,2796.66433681,1176.19183417,4.14,0.828
2015-09-16 07:08:41.330,2865.11600346,1206.19175052,4.14,0.828
