,_dir_mu,_dir_sigma,_len_mu_norm,_len_sigma_norm,_del_t,_pyrlevel,_significance,_fit_success
2015-09-16 07:06:42.370,-57.8008977783,9.12983495796,1.12777597666,0.142839735844,12.4,1,0.711222301644,1
2015-09-16 07:06:54.770,-77.8157103377,19.3392659778,0.915083142235,0.272824127491,3.85,1,0.412216532553,1
2015-09-16 07:06:58.620,-57.0509799731,11.6383180222,0.834530147823,0.253912913874,3.86,1,0.475254730713,1
2015-09-16 07:07:02.480,-51.9834836136,13.4451329615,0.803497156438,0.320472562034,3.85,1,0.27970749543,1
2015-09-16 07:07:06.330,-69.4908686629,17.4634801616,0.690469955984,0.207268487242,4.02,1,0.442350332594,1
2015-09-16 07:07:10.350,-58.657874471,16.5338938479,0.782882922665,0.20008635743,4.02,1,0.515636918383,1
2015-09-16 07:07:14.370,-61.3587097193,15.2923594565,0.800415407306,0.223789655473,4.03,1,0.663555036951,1
2015-09-16 07:07:18.400,-63.5786951794,9.17429942454,0.80057624083,0.156073514154,3.93,1,0.433814916048,1
2015-09-16 07:07:22.330,-58.0503344219,15.7736715796,0.826638270365,0.207800009701,4.02,1,0.666924564797,1
2015-09-16 07:07:26.350,-55.2467361073,12.6755456774,0.986844368842,0.187530725982,4.03,1,0.681405895692,1
2015-09-16 07:07:30.380,-54.8515306139,12.6883223636,0.989168154956,0.202899012176,5.94,1,0.728446771379,1
2015-09-16 07:07:36.320,-61.2416172631,14.2001660018,0.941934241623,0.344326078956,4.03,1,0.528963919232,1
2015-09-16 07:07:40.350,-47.0701263417,17.9721026965,1.0470853072,0.298184357298,4.02,1,0.565901226801,1
2015-09-16 07:07:44.370,-51.4271317972,18.3865464507,0.932233713865,0.275893288698,4.02,1,0.673602484472,1
2015-09-16 07:07:48.390,-53.6282221747,16.6191249333,0.875900748997,0.300997010056,3.94,1,0.571121351767,1
2015-09-16 07:07:52.330,-55.1419100624,18.8047891325,0.828934174215,0.240780253942,4.02,1,0.549085365854,1
2015-09-16 07:07:56.350,-48.8255147548,16.3232709292,0.839879912694,0.324461085851,4.02,1,0.545867393279,1
2015-09-16 07:08:00.370,-65.868866363,10.4673778913,0.860575664189,0.300145874301,4.02,1,0.222924187726,1
2015-09-16 07:08:04.390,-53.0572856903,14.846639525,0.846309507477,0.241153685338,3.94,1,0.533173221255,1
2015-09-16 07:08:08.330,-66.1303517026,15.0944481568,0.803497848182,0.261676996956,4.02,1,0.396473092125,1
2015-09-16 07:08:12.350,-58.5747109947,20.6221434192,0.812344084388,0.199023254314,5.61,1,0.746412975671,1
2015-09-16 07:08:17.960,-57.2625789239,11.2356745942,0.829408187899,0.280116327605,3.85,1,0.475415282392,1
2015-09-16 07:08:21.810,-62.1879967995,18.8099247395,0.73360435181,0.21845899099,3.94,1,0.479889996562,1
2015-09-16 07:08:25.750,-67.0792235494,11.547573931,0.831478508356,0.207410231537,3.86,1,0.401413427562,1
2015-09-16 07:08:29.610,-64.6980967241,15.8668625633,0.686219810132,0.191275684367,3.93,1,0.432937792161,1
2015-09-16 07:08:33.540,-56.6021997397,18.0209255761,0.685233497969,0.225325081035,3.94,1,0.409963099631,1
2015-09-16 07:08:37.480,-56.8675510114,15.5678988801,0.72675911659,0.218520562648,3.85,1,0.555076440612,1
2015-09-16 07:08:41.330,-57.3481817057,15.1424177941,0.758242532788,0.205424216734,4.03,1,0.530320587099,1
2015-09-16 07:08:45.360,-51.6467799331,17.2965254264,0.718082840082,0.2235554592,4.02,1,0.578285714286,1
2015-09-16 07:08:49.380,-63.6084941572,8.30432593851,0.837313077376,0.242429481583,3.93,1,0.465952563122,1
2015-09-16 07:08:53.310,-66.0350297519,12.1758803296,0.912371500098,0.171976238074,6.04,1,0.568814334731,1
2015-09-16 07:08:59.350,-66.8228946933,6.89020754148,0.92717043057,0.222158022028,4.02,1,0.364503816794,1
2015-09-16 07:09:03.370,-64.441067998,12.5613487694,0.915590808367,0.221653017435,4.02,1,0.549654419789,1
2015-09-16 07:09:07.390,-47.7892481157,19.0604714895,0.899430975573,0.242705180635,3.94,1,0.556989247312,1
2015-09-16 07:09:11.330,-43.9411497018,17.0593269429,0.91683277424,0.252342972718,4.02,1,0.454814814815,1
2015-09-16 07:09:15.350,-53.1136641677,4.90741357595,0.914400935054,0.207161713918,4.02,1,0.306908267271,1
2015-09-16 07:09:19.370,-62.0557980473,10.7687739174,0.819218018161,0.257415570308,4.02,1,0.433461538462,1
2015-09-16 07:09:23.390,-59.1512884326,9.5184816875,0.891754698861,0.209063128171,3.94,1,0.516279069767,1
2015-09-16 07:09:27.330,-54.5760841417,11.8138856665,0.850827164988,0.263506373224,4.02,1,0.475638051044,1
2015-09-16 07:09:31.350,-58.4268758623,17.6692368045,0.838505069156,0.226633198509,4.02,1,0.557684936757,1
2015-09-16 07:09:35.370,-61.0287304009,17.6070515976,0.898383187803,0.172685886464,5.61,1,0.739598811293,1
2015-09-16 07:09:40.980,-71.3615573843,21.6423426605,0.755627009646,0.280401136418,3.94,1,0.57720861173,1
2015-09-16 07:09:44.920,-53.5372786115,18.138013595,0.96879385449,0.296299743505,3.85,1,0.610835558947,1
2015-09-16 07:09:48.770,-55.9344365836,14.7224226964,0.862354395691,0.282475039349,3.86,1,0.589106928314,1
2015-09-16 07:09:52.630,-61.1139958985,11.6402279642,0.969120508173,0.360418000853,3.85,1,0.642005754213,1
2015-09-16 07:09:56.480,-62.5767138086,12.9267888342,0.808433512871,0.198750943171,3.86,1,0.63781512605,1
2015-09-16 07:10:00.340,-54.3817900668,16.4734995667,0.864309966754,0.268316834569,4.02,1,0.729157667387,1
2015-09-16 07:10:04.360,-61.2321291166,13.7327231588,0.918020325599,0.265478633309,4.02,1,0.61323268206,1
2015-09-16 07:10:08.380,-52.1109699946,17.5305602197,0.930761441262,0.264530262436,4.02,1,0.641204714099,1
2015-09-16 07:10:12.400,-55.6436469217,11.3305123903,0.799516650329,0.204329918055,3.94,1,0.46717284502,1
2015-09-16 07:10:16.340,-57.6463948763,10.8108445073,0.876472254827,0.205995529017,6.2,1,0.649551752241,1
2015-09-16 07:10:22.540,-53.6812415803,13.4054923454,0.862980268079,0.234152230423,3.85,1,0.423430627749,1
2015-09-16 07:10:26.390,-61.8175038752,5.18012180951,0.922661798454,0.20090361936,3.94,1,0.35665460394,1
2015-09-16 07:10:30.330,-57.5653413929,14.367399306,0.875415865458,0.244573919281,4.02,1,0.498280473825,1
2015-09-16 07:10:34.350,-58.898319957,13.9164346971,0.810551204374,0.190294678666,4.02,1,0.37856071964,1
2015-09-16 07:10:38.370,-55.5225351903,10.2993486445,0.773187101277,0.202485789689,4.02,1,0.429621462698,1
2015-09-16 07:10:42.390,-56.3756228552,15.2846489784,0.782587316669,0.202696629679,3.94,1,0.478397212544,1
2015-09-16 07:10:46.330,-60.2288035785,15.1375368671,0.758240049751,0.216886891691,4.02,1,0.547570157426,1
2015-09-16 07:10:50.350,-64.4803935224,12.3963627074,0.693389340722,0.204678212184,4.02,1,0.392018779343,1
2015-09-16 07:10:54.370,-63.3650601442,11.4738747275,0.763930348259,0.176065813867,4.02,1,0.331674958541,1
2015-09-16 07:10:58.390,-58.0227680178,11.8048252367,0.822594824923,0.166349836822,5.95,1,0.692558746736,1
2015-09-16 07:11:04.340,-58.465116801,11.105316925,0.813887632575,0.227635426663,4.03,1,0.585201793722,1
2015-09-16 07:11:08.370,-63.7939482649,15.300744522,0.780220372448,0.233648840576,4.01,1,0.488171355499,1
2015-09-16 07:11:12.380,-56.7471054422,9.29103020137,0.879805750254,0.252394245839,4.03,1,0.366197183099,1
2015-09-16 07:11:16.410,-66.7544606999,12.4214013512,0.852673993542,0.218633790931,3.93,1,0.63252617801,1
2015-09-16 07:11:20.340,-64.5782779481,16.2716065533,0.964733295548,0.300101950819,4.02,1,0.644161774299,1
