,_del_t,_dir_mu,_dir_sigma,_len_mu_norm,_len_sigma_norm,_significance
2015-09-16 07:06:42.370,12.4,-84.8912939506,6.67532453733,1.4483965946,0.19475299174,0.738631870304
2015-09-16 07:06:54.770,3.85,-84.885931958,11.3478998879,1.52184564388,0.426031497194,0.420568070519
2015-09-16 07:06:58.620,3.86,-92.521254913,14.4720372497,1.19693071883,0.423741719033,0.308431372549
2015-09-16 07:07:02.480,3.85,-82.5850114261,16.4872371227,1.41089412326,0.449237579927,0.394860729698
2015-09-16 07:07:06.330,4.02,-78.6136590576,15.0017020585,1.37006197975,0.41776540626,0.385947648101
2015-09-16 07:07:10.350,4.02,-82.1870443713,13.5858544722,1.23259723182,0.364461078664,0.363078749505
2015-09-16 07:07:14.370,4.03,-89.2673768402,15.632022511,1.22060476405,0.348369435058,0.352419510314
2015-09-16 07:07:18.400,3.93,-85.1169374586,17.8453114664,1.12561305496,0.326632714592,0.301904761905
2015-09-16 07:07:22.330,4.02,-91.8021133335,8.50959296965,1.25684693191,0.386339306316,0.325647325647
2015-09-16 07:07:26.350,4.03,-94.9106622471,13.2330300676,1.12039377565,0.325594999447,0.318630187977
2015-09-16 07:07:30.380,5.94,-83.9665066838,11.235932797,1.30991563576,0.203294890055,0.67015610652
2015-09-16 07:07:36.320,4.03,-70.3995426257,21.2341077701,1.19677896321,0.338972958455,0.397725153832
2015-09-16 07:07:40.350,4.02,-74.8813988345,22.7089277048,1.13776984941,0.38497805171,0.415452453988
2015-09-16 07:07:44.370,4.02,-80.6777541347,20.0462059007,1.14571001911,0.397775589366,0.367218732153
2015-09-16 07:07:48.390,3.94,-86.7908275186,13.1354028077,1.25788222551,0.407704757913,0.433143939394
2015-09-16 07:07:52.330,4.02,-89.3632755229,11.8585756467,1.17912397834,0.350341909146,0.389280946023
2015-09-16 07:07:56.350,4.02,-88.9502779406,21.4788871633,1.24169755737,0.357081168821,0.52595288259
2015-09-16 07:08:00.370,4.02,-82.6702198643,10.1016898419,1.38434473643,0.368076396751,0.487814094087
2015-09-16 07:08:04.390,3.94,-89.9961513583,13.2924675838,1.33234978954,0.387199010461,0.441869373683
2015-09-16 07:08:08.330,4.02,-89.5944586955,11.5741514596,1.21032338308,0.361245914581,0.396667988893
2015-09-16 07:08:12.350,5.61,-88.4775760193,16.3988293287,1.50297372149,0.410181836687,0.703167610657
2015-09-16 07:08:17.960,3.85,-96.3185755349,15.390773432,1.13131540914,0.364897023849,0.27412375595
2015-09-16 07:08:21.810,3.94,-90.9049327675,7.9635101038,1.36019856577,0.344705575614,0.335803007191
2015-09-16 07:08:25.750,3.86,-87.3133393796,10.6311750758,1.34549456543,0.430942552827,0.231656869149
2015-09-16 07:08:29.610,3.93,-90.0944266455,18.8758239316,1.18563886095,0.426722615378,0.33843463052
2015-09-16 07:08:33.540,3.94,-82.176288555,23.117639894,1.1397903457,0.335341171688,0.434908604547
2015-09-16 07:08:37.480,3.85,-96.4828581887,12.7470755132,1.26043399449,0.357353395077,0.403195924039
2015-09-16 07:08:41.330,4.03,-103.746342981,19.2158840041,1.16471232904,0.347389348984,0.457293336387
2015-09-16 07:08:45.360,4.02,-89.5368885678,9.71724588227,1.26582534482,0.338221650343,0.282110091743
2015-09-16 07:08:49.380,3.93,-88.4079044186,18.2958124357,1.45751361414,0.396008569538,0.499288425047
2015-09-16 07:08:53.310,6.04,-87.5582798328,9.50023977662,1.38341562727,0.250976287575,0.666980909734
2015-09-16 07:08:59.350,4.02,-91.0670939043,9.45130772387,1.02280289771,0.379761693197,0.412694552529
2015-09-16 07:09:03.370,4.02,-79.7727713722,15.1735610955,1.07338017174,0.376158043654,0.311451495259
2015-09-16 07:09:07.390,3.94,-92.2356100214,10.9274887999,1.15875410758,0.374273172363,0.194894452626
2015-09-16 07:09:11.330,4.02,-107.720105916,19.9189094639,1.07384174792,0.356152131791,0.304911493393
2015-09-16 07:09:15.350,4.02,-93.8199419233,12.5842730309,1.19047619048,0.303079448902,0.331224696356
2015-09-16 07:09:19.370,4.02,-90.7603635128,9.65718608497,1.54122574196,0.626459620375,0.447314049587
2015-09-16 07:09:23.390,3.94,-94.0868803526,14.1616813316,1.35536096436,0.461013648029,0.251408090118
2015-09-16 07:09:27.330,4.02,-92.9481495418,15.6976904806,1.00256947498,0.396065055767,0.286636860407
2015-09-16 07:09:31.350,4.02,-92.3898298444,13.9649615123,1.11778242339,0.429684222561,0.435563963112
2015-09-16 07:09:35.370,5.61,-88.714522213,11.1481775881,1.39201017968,0.307481393797,0.664641008328
2015-09-16 07:09:40.980,3.94,-97.7954912726,10.5590310477,1.08486969413,0.341091677883,0.363497933435
2015-09-16 07:09:44.920,3.85,-91.5896596642,14.1520546648,1.19925529016,0.415347666919,0.488262910798
2015-09-16 07:09:48.770,3.86,-99.0132493268,8.40644796994,1.12577865751,0.380884062881,0.301822806274
2015-09-16 07:09:52.630,3.85,-95.3637539743,15.3578434179,1.15671641791,0.35457125496,0.459987127226
2015-09-16 07:09:56.480,3.86,-97.7750318798,11.6170563168,1.03494314665,0.31377550499,0.444131658727
2015-09-16 07:10:00.340,4.02,-94.2664552382,10.3875393597,1.21334928088,0.4050919775,0.507682319844
2015-09-16 07:10:04.360,4.02,-95.2274774826,12.1422038451,1.08304166731,0.298759932307,0.617936643836
2015-09-16 07:10:08.380,4.02,-93.6249687917,9.44300277369,1.33105192271,0.338272131161,0.580624465355
2015-09-16 07:10:12.400,3.94,-91.5162558379,13.9737867128,1.07800344633,0.314595966397,0.582476435304
2015-09-16 07:10:16.340,6.2,-94.2753364985,7.99875510282,1.31278005479,0.216476819676,0.647485080989
2015-09-16 07:10:22.540,3.85,-84.9200077,9.74250724837,1.16896932854,0.308784917774,0.407279029463
2015-09-16 07:10:26.390,3.94,-90.020569211,18.9575021686,1.16372470874,0.279588079013,0.453183520599
2015-09-16 07:10:30.330,4.02,-91.8803500895,7.85649785211,1.25298597266,0.342094523964,0.494863778473
2015-09-16 07:10:34.350,4.02,-95.2947707063,7.60988182224,1.39093354673,0.266812884449,0.449624744144
2015-09-16 07:10:38.370,4.02,-100.47991507,14.3523235329,1.16972346505,0.338944590441,0.505085529357
2015-09-16 07:10:42.390,3.94,-92.8492178128,11.7753475028,1.4969057566,0.360615100238,0.55327582187
2015-09-16 07:10:46.330,4.02,-96.8420123444,10.4407858996,1.25262807302,0.263285101026,0.393092105263
2015-09-16 07:10:50.350,4.02,-96.9474266996,12.8362795009,1.16930778208,0.382975248706,0.458166391704
2015-09-16 07:10:54.370,4.02,-104.115342054,17.9547746638,1.29757512069,0.32798475771,0.445623967917
2015-09-16 07:10:58.390,5.95,-93.7449807124,8.21152625638,1.34702240556,0.24602513834,0.580122180451
2015-09-16 07:11:04.340,4.03,-101.611912149,15.8635498856,1.24636059008,0.383480407093,0.506849315068
2015-09-16 07:11:08.370,4.01,-98.9173004578,8.02801685199,1.2862503366,0.283068130991,0.404750593824
2015-09-16 07:11:12.380,4.03,-95.1857279489,8.80030861746,1.3084090753,0.326493268987,0.336759082218
2015-09-16 07:11:16.410,3.93,-102.230015513,12.2559224628,1.30502264706,0.380670281911,0.411338962606
2015-09-16 07:11:20.340,4.02,-95.2712941054,8.60851142595,1.2031013502,0.418699085325,0.363082175079
2015-09-16 07:11:24.360,4.03,-101.851132802,12.0704499426,1.182398609,0.421493563322,0.480962908376
2015-09-16 07:11:28.390,4.02,-99.9248546401,10.6285105065,1.35514682025,0.379001353781,0.370314465409
2015-09-16 07:11:32.410,3.94,-95.3986969368,8.24540712162,1.4184139553,0.345209433853,0.28013029316
2015-09-16 07:11:36.350,4.02,-102.959036015,19.2645606496,0.995764821108,0.35933519238,0.468338399189
2015-09-16 07:11:40.370,5.53,-97.4418046318,13.05166087,1.32195459709,0.262798521073,0.684478371501
2015-09-16 07:11:45.900,3.85,-93.1610029121,10.2937793051,1.446013152,0.447771214575,0.288330716902
2015-09-16 07:11:49.750,3.85,-109.454390874,18.5316584422,1.19806392869,0.364544847932,0.56992639327
2015-09-16 07:11:53.600,3.86,-94.9142931908,12.6966140129,1.10079902826,0.295692353867,0.427341507957
2015-09-16 07:11:57.460,3.93,-104.811389754,18.0943087936,1.26091805843,0.402203554174,0.418253968254
2015-09-16 07:12:01.390,3.94,-107.006676844,12.817216864,1.34354627195,0.270246414465,0.658973662775
2015-09-16 07:12:05.330,4.02,-97.4690718132,16.2408360263,1.15393183337,0.408720803466,0.558023320378
2015-09-16 07:12:09.350,4.02,-99.3727381095,17.6269637199,1.0838375143,0.337414210319,0.355164454703
2015-09-16 07:12:13.370,4.03,-94.6549676425,8.55708597877,1.10803175319,0.423265941854,0.34375
2015-09-16 07:12:17.400,3.93,-87.1290750452,12.1329953831,1.25640442155,0.319649313219,0.438632986627
2015-09-16 07:12:21.330,6.04,-94.9084354167,9.24644992266,1.33236145283,0.188957657757,0.682490924323
2015-09-16 07:12:27.370,4.02,-91.9078049829,7.3787370025,1.16360705185,0.334603032223,0.233713355049
2015-09-16 07:12:31.390,3.93,-99.0459751574,10.9058481312,1.48230725134,0.276031086986,0.58872870249
2015-09-16 07:12:35.320,4.02,-81.7216131665,17.3833125136,1.35737686349,0.336631470689,0.57574993698
2015-09-16 07:12:39.340,4.03,-98.215555351,12.9563912769,1.46963360646,0.328766338956,0.653346172364
2015-09-16 07:12:43.370,4.02,-97.0795554071,14.8438330877,1.24222497877,0.369781486109,0.531212912414
2015-09-16 07:12:47.390,3.93,-95.8332285035,12.7044581115,1.17489688391,0.301019687298,0.546071094481
2015-09-16 07:12:51.320,4.03,-91.7156080738,9.12212609882,1.31568391118,0.348078404119,0.610118356927
2015-09-16 07:12:55.350,4.02,-90.8368759112,9.65424376262,1.36976244962,0.291021708954,0.687660368556
2015-09-16 07:12:59.370,4.02,-91.7616593273,9.13796873727,1.35973709116,0.220236369299,0.675548219759
2015-09-16 07:13:03.390,5.61,-91.0068457412,8.04778242615,1.36372598165,0.209882440563,0.741283962491
2015-09-16 07:13:09.000,3.86,-90.9948098411,13.9029158891,1.41216037749,0.198502223383,0.654705144291
2015-09-16 07:13:12.860,3.93,-95.4865337819,9.59363746266,1.40840263478,0.282944142987,0.702985856469
2015-09-16 07:13:16.790,4.02,-96.4548470334,9.84379060268,1.29233052529,0.348428279078,0.697699304441
2015-09-16 07:13:20.810,3.86,-93.5326098393,11.5782682645,1.438083768,0.324625058511,0.651593571234
2015-09-16 07:13:24.670,3.94,-81.4342287352,9.15470847576,1.51763839293,0.297219513396,0.434484649123
2015-09-16 07:13:28.610,3.85,-90.0797628609,10.2507556654,1.32068250348,0.30418148141,0.683079434168
2015-09-16 07:13:32.460,3.94,-98.2814398455,9.42458503918,1.33296153817,0.335763869581,0.542432432432
2015-09-16 07:13:36.400,3.94,-88.321285943,10.9698018655,1.3323026779,0.341606785089,0.556094929881
2015-09-16 07:13:40.340,4.02,-88.2757533322,10.0189753864,1.30610964915,0.318552579989,0.599515868747
2015-09-16 07:13:44.360,5.61,-90.9064886027,10.1662652979,1.48749951329,0.205103792885,0.712476919019
2015-09-16 07:13:49.970,4.36,-91.6771835123,9.77837814235,1.4176441603,0.367787520737,0.584153150758
2015-09-16 07:13:54.330,4.02,-103.66364185,7.13213525454,1.36373772559,0.195175166382,0.343509423945
2015-09-16 07:13:58.350,4.02,-86.3789217681,21.8313880607,1.23535992585,0.302863915446,0.640809886931
2015-09-16 07:14:02.370,4.02,-96.037904669,16.9649744947,1.30149500636,0.318885466385,0.532223983096
2015-09-16 07:14:06.390,4.19,-91.6888027718,13.2303959045,1.3982774944,0.353836102941,0.495502645503
2015-09-16 07:14:10.580,3.85,-98.0403284562,11.3916884694,1.39971139971,0.329953139223,0.470666312716
2015-09-16 07:14:14.430,3.94,-101.074347452,16.2655698481,1.25039826526,0.286665719718,0.436900958466
2015-09-16 07:14:18.370,4.02,-84.9230792486,11.0711039215,1.37297162277,0.32073677328,0.594957522609
2015-09-16 07:14:22.390,3.94,-96.5852458676,12.0728108208,1.43148162284,0.352910270376,0.611670020121
2015-09-16 07:14:26.330,6.11,-90.0105591681,10.5077040401,1.34067631065,0.226816294545,0.704145371948
2015-09-16 07:14:32.440,3.94,-95.3535063452,12.7494666188,1.27125990988,0.35635019467,0.652492668622
2015-09-16 07:14:36.380,4.02,-89.6031580881,7.71903901739,1.52005343749,0.394760830532,0.582135209544
2015-09-16 07:14:40.400,3.94,-91.88537794,19.2761183753,1.12519867766,0.360033062511,0.413091136862
2015-09-16 07:14:44.340,4.02,-92.9525660653,12.9575228921,1.43373429349,0.320957280617,0.588701999365
2015-09-16 07:14:48.360,4.02,-92.0062431183,13.4409007677,1.10235623911,0.331131219259,0.49373433584
2015-09-16 07:14:52.380,3.94,-92.1706309569,7.19026396722,1.25653326488,0.285365264806,0.357766687461
2015-09-16 07:14:56.320,4.02,-100.796792266,19.2603427117,1.17234830731,0.36776257721,0.428785158588
2015-09-16 07:15:00.340,4.02,-92.5971562952,7.66606942174,1.29418852977,0.337688813875,0.372321428571
