,_del_t,_dir_mu,_dir_sigma,_len_mu_norm,_len_sigma_norm,_significance
2015-09-16 07:06:42.370,12.4,-84.8907354616,6.80168771263,1.44695958784,0.193836150631,0.744563068406
2015-09-16 07:06:54.770,3.85,-84.8859319593,11.4619679388,1.51950749484,0.416056707308,0.424094025465
2015-09-16 07:06:58.620,3.86,-92.5951639581,19.9472235145,1.1640867421,0.420354468835,0.336078431373
2015-09-16 07:07:02.480,3.85,-82.5604045138,28.1252875137,1.39030307918,0.443955768238,0.532561788937
2015-09-16 07:07:06.330,4.02,-78.613749573,18.4517845381,1.36481256627,0.408290274701,0.425113166699
2015-09-16 07:07:10.350,4.02,-82.1870443713,16.398810101,1.22157009087,0.355839907233,0.40344281757
2015-09-16 07:07:14.370,4.03,-89.2021337249,19.9381251171,1.19143538085,0.345144171277,0.415268941585
2015-09-16 07:07:18.400,3.93,-85.1202345741,21.6178123738,1.11585767518,0.326115878787,0.332571428571
2015-09-16 07:07:22.330,4.02,-91.802062253,11.7074666815,1.22909012125,0.387104352315,0.386127386127
2015-09-16 07:07:26.350,4.03,-94.9116090804,16.1490190946,1.1103960184,0.31616329851,0.357528382654
2015-09-16 07:07:30.380,5.94,-83.9665066823,12.2694261185,1.3044876683,0.197097348043,0.701744719927
2015-09-16 07:07:36.320,4.03,-70.4393880248,33.5721555068,1.15205395606,0.335884301302,0.524333395488
2015-09-16 07:07:40.350,4.02,-74.8683471762,27.0038201556,1.12308850929,0.373752407767,0.459739263804
2015-09-16 07:07:44.370,4.02,-80.6884150955,23.9250857993,1.15386040057,0.389860607498,0.406244051018
2015-09-16 07:07:48.390,3.94,-86.7694293705,23.2138758099,1.21785505169,0.411221581667,0.589204545455
2015-09-16 07:07:52.330,4.02,-89.3632755232,16.221851172,1.17389301756,0.345997045289,0.471485790578
2015-09-16 07:07:56.350,4.02,-88.9674938229,23.0974255308,1.23909575429,0.350791393821,0.544340164719
2015-09-16 07:08:00.370,4.02,-82.6702196365,12.4314702831,1.373997731,0.360606351302,0.546382013981
