,_dir_mu,_dir_sigma,_len_mu_norm,_len_sigma_norm,_del_t,_pyrlevel,_significance,_fit_success
2015-09-16 07:06:42.370,-86.6594689187945,7.497840216110228,1.0880118824514533,0.22044488732276543,12.4,1,0.966547192353644,1
2015-09-16 07:06:54.770,-88.16461684243895,18.652198644608788,1.1522423333446956,0.49369230298707617,3.85,1,0.4521360759493671,1
2015-09-16 07:06:58.620,-91.21145787653681,24.77973039294742,0.9816868932685088,0.49492023373525534,3.86,1,0.3795591964111566,1
2015-09-16 07:07:02.480,-87.6764993989877,18.818972318729386,1.1929339259018192,0.4923561487146476,3.85,1,0.4982442450253609,1
2015-09-16 07:07:06.330,-73.8570433987088,17.993971047901073,1.1699839481233987,0.4940114153383706,4.02,1,0.6155972359328726,1
2015-09-16 07:07:10.350,-70.6015935599592,23.04212150953814,1.0817426810172248,0.4463845349854145,4.02,1,0.645882818685669,1
2015-09-16 07:07:14.370,-92.33935883903747,15.79219068484971,1.1214573402800871,0.42320216883684,4.03,1,0.509929906542056,1
2015-09-16 07:07:18.400,-92.99942257201428,21.423382623686095,0.9780635474340595,0.4103193214054532,3.93,1,0.4565511902457906,1
2015-09-16 07:07:22.330,-100.54721555253096,19.744880534935394,1.0895115702143237,0.4555116718068963,4.02,1,0.6889431199549465,1
2015-09-16 07:07:26.350,-93.54668112500117,12.629812575049298,1.0418278680505528,0.4398763345538619,4.03,1,0.5186837702175126,1
2015-09-16 07:07:30.380,-82.77869027933049,11.813129634872697,1.1323795487496555,0.39027324450156736,5.94,1,0.7811341734618236,1
2015-09-16 07:07:36.320,-86.46437717571598,15.31381913484173,1.1239075012012212,0.4549074780492447,4.03,1,0.6859830667920979,1
2015-09-16 07:07:40.350,-86.49434293580073,17.32372798354232,0.8761716127856001,0.4273799416215934,4.02,1,0.6850513503233169,1
2015-09-16 07:07:44.370,-91.33072437354843,9.836287620995991,1.1706141976348508,0.37739163196707515,4.02,1,0.4260434698980573,1
2015-09-16 07:07:48.390,-81.89024255734545,15.46498603063221,1.1994900298479332,0.4707544616499665,3.94,1,0.5411514683153014,1
2015-09-16 07:07:52.330,-87.88615683562062,11.757177063530627,1.1642258392070393,0.36498938194118724,4.02,1,0.4577795152462862,1
