,_phi,_phi_err,_velo_eff,_velo_eff_err
2015-09-16 07:06:54.770,3642.92053358,1033.26628411,5.56697105403,1.55054424725
2015-09-16 07:06:58.620,2497.70480485,578.281198167,4.01973224417,0.9053839074
2015-09-16 07:07:02.480,2401.94631814,740.638898647,3.77029963374,1.14487041544
2015-09-16 07:07:06.330,2642.13232222,817.954625336,4.02128647137,1.22611359872
2015-09-16 07:07:10.350,2413.22361738,749.926748962,3.78258727699,1.15784990897
2015-09-16 07:07:14.370,2835.5318775,706.772062714,4.35604491573,1.06036779478
2015-09-16 07:07:18.400,3063.16035097,823.475093034,4.38975529243,1.15641166501
2015-09-16 07:07:22.330,2877.53963467,905.09826176,4.03668674279,1.25112484487
2015-09-16 07:07:26.350,3005.60975196,903.781610949,4.20411362899,1.24392500611
2015-09-16 07:07:30.380,2650.13472852,648.775477272,3.80768818613,0.909539188177
2015-09-16 07:07:36.320,2448.2401904,841.92742556,3.64996047604,1.23984920433
2015-09-16 07:07:40.350,2155.36263093,753.734208438,3.4512088269,1.1926351057
2015-09-16 07:07:44.370,2380.01685397,928.797897538,3.7289004721,1.44140725698
2015-09-16 07:07:48.390,2410.05350804,722.21486064,3.82801588886,1.12863242494
2015-09-16 07:07:52.330,2448.56797629,801.909502494,3.81984026851,1.23413428052
2015-09-16 07:07:56.350,2278.10615015,764.233718143,3.95623611767,1.31014409236
2015-09-16 07:08:00.370,2558.73706064,686.235475917,4.10782126616,1.07945903867
2015-09-16 07:08:04.390,2625.01827235,769.03386475,4.13917030675,1.19215589459
2015-09-16 07:08:08.330,2673.00507568,758.063071495,4.05010218343,1.12791339772
2015-09-16 07:08:12.350,2813.21268779,556.237234636,4.0096141748,0.763119313128
2015-09-16 07:08:17.960,3055.17388236,904.584754293,4.48450144184,1.30585972974
2015-09-16 07:08:21.810,2938.66645877,894.930947599,4.16181230648,1.24765223172
2015-09-16 07:08:25.750,3058.07845643,963.072742964,4.24487852306,1.31733914409
2015-09-16 07:08:29.610,2572.85836765,807.297559822,3.45175505192,1.06716607475
2015-09-16 07:08:33.540,2547.6503989,842.885953802,3.41213939099,1.11399874798
2015-09-16 07:08:37.480,2585.29605365,791.278182243,3.82710414019,1.15326922416
2015-09-16 07:08:41.330,2249.38441618,621.379275474,3.25028776209,0.880821359333
2015-09-16 07:08:45.360,2220.25568929,751.664599287,3.16117827488,1.05672472882
2015-09-16 07:08:49.380,2633.97942453,1033.37733705,4.08961750084,1.58942765719
2015-09-16 07:08:53.310,2305.37874617,473.911436236,3.64242779602,0.722882101165
2015-09-16 07:08:59.350,2075.44213571,792.327921984,3.71533898547,1.40433592914
2015-09-16 07:09:03.370,1976.02901536,587.618470388,3.49494967866,1.02228698409
2015-09-16 07:09:07.390,1910.6475386,655.332710849,3.15142140746,1.06762861379
2015-09-16 07:09:11.330,2135.35723447,638.992004397,3.58127993517,1.05434927692
2015-09-16 07:09:15.350,2078.32766418,647.149448888,3.69592744425,1.13366383554
2015-09-16 07:09:19.370,1973.23370612,515.477549433,3.45155349639,0.882486993204
2015-09-16 07:09:23.390,2036.36358279,655.468790251,3.8040702709,1.2073692831
2015-09-16 07:09:27.330,1925.24778903,570.963273702,3.42759094764,0.999768916148
2015-09-16 07:09:31.350,1897.43198495,530.465485819,3.49622844606,0.95931267109
2015-09-16 07:09:35.370,2055.5546341,421.470906157,3.71675931025,0.735590219467
2015-09-16 07:09:40.980,2313.33470637,658.667278587,3.94338177399,1.10271647121
2015-09-16 07:09:44.920,2259.40354919,851.936365003,3.83917649738,1.43291242623
2015-09-16 07:09:48.770,2002.57199941,660.505740909,3.53354063777,1.14997577222
2015-09-16 07:09:52.630,2183.05242224,696.241873903,3.53950420369,1.11280371006
2015-09-16 07:09:56.480,2177.21236085,733.716700492,3.57527491721,1.18953055698
2015-09-16 07:10:00.340,2305.46538953,774.190861316,3.62523480837,1.20177812621
2015-09-16 07:10:04.360,1952.13477405,656.793724358,3.26572878521,1.08472632979
2015-09-16 07:10:08.380,1758.126332,561.390451849,2.83975995011,0.893908432717
2015-09-16 07:10:12.400,2213.31587663,626.030860019,3.67795903996,1.02145984464
2015-09-16 07:10:16.340,2126.16160615,493.045937386,3.65802409571,0.825315856603
2015-09-16 07:10:22.540,1815.32213238,603.023997223,2.95860391894,0.969930896014
2015-09-16 07:10:26.390,1736.16249632,599.323372923,3.13091441462,1.06768744161
2015-09-16 07:10:30.330,2132.92266565,712.267745253,3.67438216328,1.21111574946
2015-09-16 07:10:34.350,1988.12922868,759.243534026,3.58645546937,1.35606921965
2015-09-16 07:10:38.370,1716.22158672,553.770318517,3.34580352882,1.06458634545
2015-09-16 07:10:42.390,1640.67291697,554.167122865,3.33241566231,1.11132190497
2015-09-16 07:10:46.330,1878.4843324,524.182867274,3.71190299702,1.01650301145
2015-09-16 07:10:50.350,1860.31854446,600.060683695,3.50386505281,1.11448550687
2015-09-16 07:10:54.370,2020.44692345,536.930976331,3.78425341392,0.984989440692
2015-09-16 07:10:58.390,1856.33813749,470.56263383,3.42732407977,0.849144187826
2015-09-16 07:11:04.340,2015.79964904,492.026498014,4.05141197025,0.964754076242
2015-09-16 07:11:08.370,2126.18542768,585.830876577,3.71330738639,1.00358728619
2015-09-16 07:11:12.380,2130.12360556,620.021482837,3.69276764518,1.05648788921
2015-09-16 07:11:16.410,2155.58600237,607.756512799,3.56856209497,0.98779599942
2015-09-16 07:11:20.340,2089.55187699,527.841992866,3.82684248464,0.94470280341
2015-09-16 07:11:24.360,2115.44319663,568.420268699,3.70804653757,0.976343210392
2015-09-16 07:11:28.390,2069.50794315,494.752578105,4.0051739132,0.93314986548
2015-09-16 07:11:32.410,2139.67673721,609.161436883,3.66507674216,1.02479229015
2015-09-16 07:11:36.350,2098.95736075,620.67223796,3.39419735155,0.987063422069
2015-09-16 07:11:40.370,2357.97657639,548.612602114,3.78749588925,0.857516368364
2015-09-16 07:11:45.900,2685.19172098,722.781923766,4.12479013903,1.08805827309
2015-09-16 07:11:49.750,2317.01733559,742.42822344,3.68881767275,1.16533959372
2015-09-16 07:11:53.600,2534.92412796,784.970471399,3.75340485855,1.14475371972
2015-09-16 07:11:57.460,3017.92175332,1134.29111585,3.95265413924,1.47043837678
2015-09-16 07:12:01.390,3063.91039806,839.036361835,3.88805604305,1.04414893849
2015-09-16 07:12:05.330,3313.22598174,1103.86969042,3.79162649714,1.24681850889
2015-09-16 07:12:09.350,3056.11044388,922.621205744,3.56364998683,1.05876829743
2015-09-16 07:12:13.370,2800.15996021,967.777527177,3.33808355088,1.13974664143
2015-09-16 07:12:17.400,3070.27863351,1081.54895104,3.58491944902,1.24814794355
2015-09-16 07:12:21.330,3227.48417241,665.939166352,3.73488316289,0.744200650452
2015-09-16 07:12:27.370,3164.30840057,1004.42167858,3.68492701459,1.15289519738
2015-09-16 07:12:31.390,2939.50378667,972.809744141,3.4197268602,1.11680701701
2015-09-16 07:12:35.320,2743.48636593,891.055636982,3.26091890376,1.04460071538
2015-09-16 07:12:39.340,2795.48540057,967.58297967,3.45788825317,1.18242795986
2015-09-16 07:12:43.370,2987.94462521,834.309774037,3.61229464904,0.989899378247
2015-09-16 07:12:47.390,2622.81447811,945.48016784,3.41422349369,1.21709847169
2015-09-16 07:12:51.320,2728.21896447,829.045373776,3.61882703311,1.08245231691
2015-09-16 07:12:55.350,2690.99446141,852.715411742,3.46008069979,1.08063343883
2015-09-16 07:12:59.370,2717.99323723,724.571680322,3.51045391709,0.916731123655
2015-09-16 07:13:03.390,2998.64988085,643.135646656,3.74011354507,0.776728249042
2015-09-16 07:13:09.000,2904.85964666,829.284094748,3.54769389771,0.994805814871
2015-09-16 07:13:12.860,3136.22496108,824.016014474,3.96716085755,1.02043700725
2015-09-16 07:13:16.790,3023.08520786,748.12347784,3.76904362166,0.910606896755
2015-09-16 07:13:20.810,2813.75972903,856.509570112,3.44887100137,1.03344882602
2015-09-16 07:13:24.670,3107.75228931,915.493343005,3.74293787683,1.08421854031
2015-09-16 07:13:28.610,3553.45081955,1141.0312634,4.10254736278,1.29888242584
2015-09-16 07:13:32.460,3396.44478312,1086.23937135,3.89690673858,1.22868430487
2015-09-16 07:13:36.400,3199.88433785,907.077907513,3.91042652373,1.08852036212
2015-09-16 07:13:40.340,3034.6389738,825.661833468,3.58825776745,0.957175428954
2015-09-16 07:13:44.360,3312.74348518,694.162334439,3.93326159579,0.796792052093
2015-09-16 07:13:49.970,3166.22233342,848.876176117,3.81590131951,1.00242061169
2015-09-16 07:13:54.330,2879.25898462,1018.04351508,3.71635933914,1.2988486222
2015-09-16 07:13:58.350,2851.03001159,730.4762317,3.64511822757,0.913281598014
