,_frac_optflow_ok,_frac_optflow_ok_ica,_phi,_phi_err,_velo_eff,_velo_eff_err
2015-09-16 07:06:42.370,,,2530.3600731,895.497118357,4.29,1.5
2015-09-16 07:06:54.770,,,2384.86993882,844.006312857,4.29,1.5
2015-09-16 07:06:58.620,,,2436.27336776,862.198551105,4.29,1.5
2015-09-16 07:07:02.480,,,2469.30322685,873.887868965,4.29,1.5
2015-09-16 07:07:06.330,,,2486.86149162,880.102016728,4.29,1.5
2015-09-16 07:07:10.350,,,2359.12710535,834.896921227,4.29,1.5
2015-09-16 07:07:14.370,,,2285.5026017,808.841368774,4.29,1.5
2015-09-16 07:07:18.400,,,2293.93294794,811.825666525,4.29,1.5
2015-09-16 07:07:22.330,,,2184.97333326,773.26555287,4.29,1.5
2015-09-16 07:07:26.350,,,2059.07279188,728.709425547,4.29,1.5
2015-09-16 07:07:30.380,,,2026.38585662,717.141926665,4.29,1.5
2015-09-16 07:07:36.320,,,2545.32863966,900.792746966,4.29,1.5
2015-09-16 07:07:40.350,,,2644.89054108,936.02452711,4.29,1.5
2015-09-16 07:07:44.370,,,2629.64971617,930.630189677,4.29,1.5
2015-09-16 07:07:48.390,,,2776.80872048,982.708373341,4.29,1.5
2015-09-16 07:07:52.330,,,2795.76847143,989.417894916,4.29,1.5
2015-09-16 07:07:56.350,,,2635.02859373,932.532059925,4.29,1.5
2015-09-16 07:08:00.370,,,2740.39283257,969.819505654,4.29,1.5
2015-09-16 07:08:04.390,,,2759.5173786,976.587586668,4.29,1.5
2015-09-16 07:08:08.330,,,2719.80124987,962.532399304,4.29,1.5
2015-09-16 07:08:12.350,,,2569.95507172,909.504152579,4.29,1.5
2015-09-16 07:08:17.960,,,2319.89109894,821.007965421,4.29,1.5
2015-09-16 07:08:21.810,,,2277.23578556,805.912119784,4.29,1.5
2015-09-16 07:08:25.750,,,2318.92117316,820.664244153,4.29,1.5
2015-09-16 07:08:29.610,,,2342.73044672,829.090449107,4.29,1.5
2015-09-16 07:08:33.540,,,2265.07563751,801.608213762,4.29,1.5
2015-09-16 07:08:37.480,,,2002.1001518,708.541063702,4.29,1.5
2015-09-16 07:08:41.330,,,2016.59836613,713.672207792,4.29,1.5
2015-09-16 07:08:45.360,,,2114.85380225,748.445211611,4.29,1.5
2015-09-16 07:08:49.380,,,1943.8396142,687.923911812,4.29,1.5
2015-09-16 07:08:53.310,,,2005.54007319,709.760399549,4.29,1.5
2015-09-16 07:08:59.350,,,2007.68196294,710.51920799,4.29,1.5
2015-09-16 07:09:03.370,,,2159.32556985,764.185826001,4.29,1.5
2015-09-16 07:09:07.390,,,2328.92507641,824.206935555,4.29,1.5
2015-09-16 07:09:11.330,,,2388.32157273,845.226181107,4.29,1.5
2015-09-16 07:09:15.350,,,2373.74026393,840.064671645,4.29,1.5
2015-09-16 07:09:19.370,,,2443.47849348,864.744080342,4.29,1.5
2015-09-16 07:09:23.390,,,2359.63692998,835.072139831,4.29,1.5
2015-09-16 07:09:27.330,,,2397.75907654,848.5630148,4.29,1.5
2015-09-16 07:09:31.350,,,2357.97240805,834.482564311,4.29,1.5
2015-09-16 07:09:35.370,,,2430.76618347,860.245105626,4.29,1.5
2015-09-16 07:09:40.980,,,2533.30210955,896.53486302,4.29,1.5
2015-09-16 07:09:44.920,,,2429.65734478,859.854974932,4.29,1.5
2015-09-16 07:09:48.770,,,2274.89991749,805.086238573,4.29,1.5
2015-09-16 07:09:52.630,,,2254.54874371,797.88452477,4.29,1.5
